;T;UMIN;KMH;AVG_KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KM_SECTOR_PRESET;KM_SECTOR_TO_BE_DRIVEN;FRAC_SECTOR_DRIVEN;DEV_AVG_KMH;KMH_GPS;LAT;LON;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
data;1,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849837833;7,8447095;0,00;0,00;0,00
data;2,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498425;7,844708;0,00;0,00;0,00
data;3,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849838833;7,844709167;0,00;0,00;0,00
data;4,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849833667;7,844710667;0,00;0,00;0,00
data;5,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849841833;7,844707833;0,00;0,00;0,00
data;6,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849838833;7,844709;0,00;0,00;0,00
data;7,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849845;7,844706833;0,00;0,00;0,00
data;8,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849847;7,844705;0,00;0,00;0,00
data;9,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849864833;7,844699667;0,00;0,00;0,00
data;10,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849870333;7,844697833;0,00;0,00;0,00
data;11,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849871667;7,844697;0,00;0,00;0,00
data;12,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849874;7,844695667;0,00;0,00;0,00
data;13,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84987;7,844695167;0,00;0,00;0,00
data;14,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849874;7,844694;0,00;0,00;0,00
data;15,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849876833;7,844692833;0,00;0,00;0,00
data;16,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849879833;7,844691167;0,00;0,00;0,00
data;17,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849874;7,844691833;0,00;0,00;0,00
data;18,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849878833;7,844690667;0,00;0,00;0,00
data;19,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849884333;7,844689833;0,00;0,00;0,00
data;20,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849889833;7,844688667;0,00;0,00;0,00
data;21,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849885333;7,844689333;0,00;0,00;0,00
data;22,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849889667;7,844688333;0,00;0,00;0,00
data;23,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849876;7,844690833;0,00;0,00;0,00
data;24,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849879833;7,844691;0,00;0,00;0,00
data;25,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849879;7,844692;0,00;0,00;0,00
data;26,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849881667;7,844691333;0,00;0,00;0,00
data;27,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849879;7,8446925;0,00;0,00;0,00
data;28,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849873667;7,844694333;0,00;0,00;0,00
data;29,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849869833;7,844695;0,00;0,00;0,00
data;30,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498595;7,844696667;0,00;0,00;0,00
data;31,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498555;7,8446975;0,00;0,00;0,00
data;32,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849853;7,8446985;0,00;0,00;0,00
data;33,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498485;7,844700167;0,00;0,00;0,00
data;34,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849846;7,844701667;0,00;0,00;0,00
data;35,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849844333;7,844702667;0,00;0,00;0,00
data;36,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849839333;7,8447045;0,00;0,00;0,00
data;37,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849830167;7,844708333;0,00;0,00;0,00
data;38,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498195;7,844712167;0,00;0,00;0,00
data;39,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849810167;7,844715167;0,00;0,00;0,00
