TIME;LAT;LON;KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KMH_GPS;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
12.05.2019 20:12:01,49.834623833,8.042382833,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
12.05.2019 20:12:06,49.834625,8.0423745,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
12.05.2019 20:12:11,49.834658833,8.042441167,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
12.05.2019 20:12:15,49.834662667,8.042449333,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
12.05.2019 20:12:34;49.834587167;8.042402167;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:12:39;49.834583667;8.0423885;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:12:44;49.834594333;8.042412167;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:12:48;49.834585667;8.0423965;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:12:53;49.834579167;8.0423895;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:12:58;49.8345965;8.042436667;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:03;49.834608667;8.042455167;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:07;49.834612667;8.0424715;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:12;49.834611833;8.0424595;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:17;49.834605833;8.042448;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:22;49.834615667;8.042478;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:26;49.834617;8.042489;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:31;49.834608667;8.0424765;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:36;49.834604667;8.042472333;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:41;49.834598167;8.042468;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:45;49.834583667;8.042439667;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:50;49.834556667;8.042409333;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:13:55;49.834543167;8.042399167;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:14:00;49.834532;8.0423785;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:14:04;49.8345305;8.0423675;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:14:09;49.834524167;8.042336833;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
12.05.2019 20:14:14;49.834532333;8.0423345;0.0;0.00;0.00;0.00;0.0;0.00;0.00;0.00
